win_size,vector_size,analogy_top1,analogy_top1_sim,son_rank,son_cos,score_analogy,purity,silhouette,final_score,"cluster_labels_(yen,yuan,spain,brazil,africa,asia)",cluster_missing
3,70,daughter,0.863446057,2,0.815073967,0.891507397,1,0.297544867,0.934904438,"2,2,0,0,1,1",
3,100,daughter,0.815981388,2,0.804568648,0.890456865,1,0.296444416,0.934274119,"2,2,0,0,1,1",
7,20,son,0.945548654,1,0.945548654,0.994554865,0.833333333,0.372453213,0.930066253,"2,2,0,1,1,1",
3,300,daughter,0.736036599,2,0.696852028,0.879685203,1,0.282602489,0.927811122,"2,2,0,0,1,1",
7,100,son,0.819099307,1,0.819099307,0.981909931,0.833333333,0.243375584,0.922479292,"2,2,0,2,1,1",
13,100,son,0.755603492,1,0.755603492,0.975560349,0.833333333,0.263147682,0.918669543,"2,2,0,2,1,1",
25,70,son,0.736261904,1,0.736261904,0.97362619,0.833333333,0.246219382,0.917509048,"2,2,0,2,1,1",
25,300,son,0.605571151,1,0.605571151,0.960557115,0.833333333,0.222295955,0.909667602,"2,2,0,2,1,1",
25,20,brother,0.853192985,2,0.845809996,0.894581,0.833333333,0.337754995,0.870081933,"2,2,0,1,1,1",
7,70,daughter,0.839276791,2,0.817471564,0.891747156,0.833333333,0.260721207,0.868381627,"2,2,0,2,1,1",
25,100,grandson,0.720849752,2,0.717340767,0.881734077,0.833333333,0.248427972,0.862373779,"2,2,0,2,1,1",
7,300,daughter,0.729848683,2,0.697126389,0.879712639,0.833333333,0.232577443,0.861160917,"2,2,0,2,1,1",
13,300,daughter,0.695596039,2,0.689834595,0.878983459,0.833333333,0.251372129,0.860723409,"2,2,0,2,1,1",
13,70,grandson,0.796941519,3,0.790262401,0.79902624,0.833333333,0.270368487,0.812749077,"2,2,0,2,1,1",
3,20,daughter,0.949866235,6,0.918053865,0.541805387,1,0.409126669,0.725083232,"1,1,0,0,2,2",
13,20,brother,0.922631621,6,0.884478509,0.538447851,0.833333333,0.370165706,0.656402044,"2,2,0,1,1,1",
